Gene stable ID	Transcript stable ID	Transcript start (bp)	Transcript end (bp)	Transcription start site (TSS)	Transcript length (including UTRs and CDS)	Strand	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene % GC content	Gene name	Gene type
tG(UCC)O	tG(UCC)O_tRNA	110962	111033	111033	72	-1	110962	111033	XV	56.94	SUF1	tRNA
YPR096C	YPR096C_mRNA	724842	725144	725144	303	-1	724842	725144	XVI	39.60		protein_coding
YJL210W	YJL210W_mRNA	36919	37734	36919	816	1	36919	37734	X	46.81	PEX2	protein_coding
YLR216C	YLR216C_mRNA	572096	573211	573211	1116	-1	572096	573211	XII	38.17	CPR6	protein_coding
YGL118C	YGL118C_mRNA	288014	288451	288451	438	-1	288014	288451	VII	35.39		protein_coding
YMR021C	YMR021C_mRNA	317165	318418	318418	1254	-1	317165	318418	XIII	39.87	MAC1	protein_coding
YNL079C	YNL079C_mRNA	478566	479165	479165	600	-1	478566	479165	XIV	44.00	TPM1	protein_coding
YBL058W	YBL058W_mRNA	111437	112708	111437	1272	1	111437	112708	II	44.18	SHP1	protein_coding
YJR127C	YJR127C_mRNA	658917	663059	663059	4143	-1	658917	663059	X	40.98	RSF2	protein_coding
YLR088W	YLR088W_mRNA	316107	317951	316107	1845	1	316107	317951	XII	37.67	GAA1	protein_coding
YKL128C	YKL128C_mRNA	200884	201771	201771	888	-1	200884	201771	XI	43.69	PMU1	protein_coding
YLR100W	YLR100W_mRNA	341810	342853	341810	1044	1	341810	342853	XII	41.38	ERG27	protein_coding
YKL106C-A	YKL106C-A_mRNA	237147	237266	237266	120	-1	237147	237266	XI	44.17		protein_coding
YBR080C	YBR080C_mRNA	398614	400890	400890	2277	-1	398614	400890	II	38.43	SEC18	protein_coding
YOR292C	YOR292C_mRNA	865653	866582	866582	930	-1	865653	866582	XV	39.57		protein_coding
YNL219C	YNL219C_mRNA	235996	237663	237663	1668	-1	235996	237663	XIV	37.11	ALG9	protein_coding
YPR179C	YPR179C_mRNA	893797	895764	895764	1968	-1	893797	895764	XVI	35.62	HDA3	protein_coding
YOL062C	YOL062C_mRNA	210520	211995	211995	1476	-1	210520	211995	XV	40.85	APM4	protein_coding
YDR540C	YDR540C_mRNA	1517136	1517675	1517675	540	-1	1517136	1517675	IV	35.93	IRC4	protein_coding
YER087W	YER087W_mRNA	330576	332306	330576	1731	1	330576	332306	V	38.47	AIM10	protein_coding
YOL140W	YOL140W_mRNA	58759	60030	58759	1272	1	58759	60030	XV	40.33	ARG8	protein_coding
YFL009W	YFL009W_mRNA	116145	118484	116145	2340	1	116145	118484	VI	39.66	CDC4	protein_coding
YLL004W	YLL004W_mRNA	141073	142923	141073	1851	1	141073	142923	XII	35.44	ORC3	protein_coding
YKL057C	YKL057C_mRNA	330856	333969	333969	3114	-1	330856	333969	XI	34.14	NUP120	protein_coding
YPL130W	YPL130W_mRNA	304387	305058	304387	672	1	304387	305058	XVI	36.01	SPO19	protein_coding
YDL046W	YDL046W_mRNA	371240	371761	371240	522	1	371240	371761	IV	43.49	NPC2	protein_coding
YPL072W	YPL072W_mRNA	418512	420011	418512	1500	1	418512	420011	XVI	36.53	UBP16	protein_coding
tY(GUA)F1	tY(GUA)F1_tRNA	167437	167525	167437	75	1	167437	167525	VI	52.81	SUP11	tRNA
YPR150W	YPR150W_mRNA	830999	831520	830999	522	1	830999	831520	XVI	41.57		protein_coding
YER180C	YER180C_mRNA	549724	550527	550527	804	-1	549724	550527	V	37.56	ISC10	protein_coding
YGL157W	YGL157W_mRNA	209006	210049	209006	1044	1	209006	210049	VII	39.56	ARI1	protein_coding
YDR252W	YDR252W_mRNA	963412	963861	963412	450	1	963412	963861	IV	39.56	BTT1	protein_coding
YLR037C	YLR037C_mRNA	222685	223059	223059	375	-1	222685	223059	XII	46.40	PAU23	protein_coding
YMR307W	YMR307W_mRNA	887003	888682	887003	1680	1	887003	888682	XIII	41.61	GAS1	protein_coding
YIL116W	YIL116W_mRNA	142928	144085	142928	1158	1	142928	144085	IX	39.64	HIS5	protein_coding
YAL040C	YAL040C_mRNA	65778	67520	67520	1743	-1	65778	67520	I	41.08	CLN3	protein_coding
YGL232W	YGL232W_mRNA	62075	63002	62075	870	1	62075	63002	VII	35.24	TAN1	protein_coding
YHR181W	YHR181W_mRNA	467228	467914	467228	687	1	467228	467914	VIII	37.70	SVP26	protein_coding
YBR051W	YBR051W_mRNA	337988	338338	337988	351	1	337988	338338	II	37.04		protein_coding
YPL259C	YPL259C_mRNA	51244	52671	52671	1428	-1	51244	52671	XVI	36.41	APM1	protein_coding
YDR461C-A	YDR461C-A_mRNA	1385524	1385766	1385766	243	-1	1385524	1385766	IV	49.38		protein_coding
YJL087C	YJL087C_mRNA	270002	272485	272485	2484	-1	270002	272485	X	35.95	TRL1	protein_coding
YIR005W	YIR005W_mRNA	364889	365335	364889	447	1	364889	365335	IX	34.45	IST3	protein_coding
YDL080C	YDL080C_mRNA	310642	312471	312471	1830	-1	310642	312471	IV	40.93	THI3	protein_coding
YJL209W	YJL209W_mRNA	38005	39969	38005	1965	1	38005	39969	X	37.10	CBP1	protein_coding
YLR286C	YLR286C_mRNA	708448	710136	710136	1689	-1	708448	710136	XII	40.85	CTS1	protein_coding
YEL044W	YEL044W_mRNA	69757	70257	69757	501	1	69757	70257	V	47.70	IES6	protein_coding
YOR371C	YOR371C_mRNA	1031489	1034182	1034182	2694	-1	1031489	1034182	XV	39.53	GPB1	protein_coding
YLR071C	YLR071C_mRNA	275378	278626	278626	3249	-1	275378	278626	XII	36.66	RGR1	protein_coding
YBL050W	YBL050W_mRNA	125125	126119	125125	879	1	125125	126119	II	39.10	SEC17	protein_coding
YOR025W	YOR025W_mRNA	378219	379562	378219	1344	1	378219	379562	XV	42.71	HST3	protein_coding
YHL001W	YHL001W_mRNA	104277	105091	104277	417	1	104277	105091	VIII	40.00	RPL14B	protein_coding
YJR042W	YJR042W_mRNA	514055	516289	514055	2235	1	514055	516289	X	37.72	NUP85	protein_coding
YNL185C	YNL185C_mRNA	292193	292669	292669	477	-1	292193	292669	XIV	42.98	MRPL19	protein_coding
YBR129C	YBR129C_mRNA	494353	495339	495339	987	-1	494353	495339	II	37.39	OPY1	protein_coding
YKL145W	YKL145W_mRNA	174213	175616	174213	1404	1	174213	175616	XI	41.52	RPT1	protein_coding
YIL015W	YIL015W_mRNA	322342	324105	322342	1764	1	322342	324105	IX	40.19	BAR1	protein_coding
YPL018W	YPL018W_mRNA	517651	518760	517651	1110	1	517651	518760	XVI	39.37	CTF19	protein_coding
YLR160C	YLR160C_mRNA	486201	487289	487289	1089	-1	486201	487289	XII	44.35	ASP3-4	protein_coding
YIL047C	YIL047C_mRNA	265115	267823	267823	2709	-1	265115	267823	IX	44.44	SYG1	protein_coding
YBL039C-A	YBL039C-A_mRNA	144948	145031	145031	84	-1	144948	145031	II	42.86		protein_coding
YOR061W	YOR061W_mRNA	441534	442553	441534	1020	1	441534	442553	XV	39.31	CKA2	protein_coding
YJR005C-A	YJR005C-A_mRNA	448477	448758	448758	282	-1	448477	448758	X	44.33	LSO1	protein_coding
YLR352W	YLR352W_mRNA	831116	833539	831116	2424	1	831116	833539	XII	37.50		protein_coding
YDR068W	YDR068W_mRNA	583713	584645	583713	933	1	583713	584645	IV	37.08	DOS2	protein_coding
tS(GCU)O	tS(GCU)O_tRNA	274673	274773	274673	82	1	274673	274773	XV	52.48		tRNA
YJL128C	YJL128C_mRNA	178097	180103	180103	2007	-1	178097	180103	X	42.15	PBS2	protein_coding
YPL228W	YPL228W_mRNA	118382	120031	118382	1650	1	118382	120031	XVI	36.85	CET1	protein_coding
YML036W	YML036W_mRNA	205642	206293	205642	546	1	205642	206293	XIII	35.89	CGI121	protein_coding
YKL114C	YKL114C_mRNA	223352	224455	224455	1104	-1	223352	224455	XI	38.50	APN1	protein_coding
YDR078C	YDR078C_mRNA	602198	602869	602869	672	-1	602198	602869	IV	34.23	SHU2	protein_coding
snR7-L	snR7-L_snRNA	939459	939672	939672	214	-1	939459	939672	VII	44.39		snRNA
YCR105W	YCR105W_mRNA	309070	310155	309070	1086	1	309070	310155	III	43.65	ADH7	protein_coding
YJR083C	YJR083C_mRNA	582608	583537	583537	930	-1	582608	583537	X	38.71	ACF4	protein_coding
YDR248C	YDR248C_mRNA	957758	958339	958339	582	-1	957758	958339	IV	37.97		protein_coding
snR82	snR82_snoRNA	316788	317055	316788	268	1	316788	317055	VII	39.55		snoRNA
YPL199C	YPL199C_mRNA	172033	172755	172755	723	-1	172033	172755	XVI	39.42		protein_coding
YNL136W	YNL136W_mRNA	370368	371645	370368	1278	1	370368	371645	XIV	38.11	EAF7	protein_coding
YLL045C	YLL045C_mRNA	47859	48629	48629	771	-1	47859	48629	XII	45.14	RPL8B	protein_coding
YOR316C-A	YOR316C-A_mRNA	907726	907935	907935	210	-1	907726	907935	XV	46.19		protein_coding
YNL264C	YNL264C_mRNA	145563	146615	146615	1053	-1	145563	146615	XIV	40.36	PDR17	protein_coding
YLR320W	YLR320W_mRNA	771940	776304	771940	4365	1	771940	776304	XII	36.98	MMS22	protein_coding
YBR028C	YBR028C_mRNA	294425	296002	296002	1578	-1	294425	296002	II	38.21	YPK3	protein_coding
YKL098W	YKL098W_mRNA	256770	257843	256770	1074	1	256770	257843	XI	43.85	MTC2	protein_coding
YBR063C	YBR063C_mRNA	366970	368184	368184	1215	-1	366970	368184	II	35.23		protein_coding
YJL052C-A	YJL052C-A_mRNA	337884	338003	338003	120	-1	337884	338003	X	49.17		protein_coding
YPR060C	YPR060C_mRNA	674861	675631	675631	771	-1	674861	675631	XVI	36.19	ARO7	protein_coding
YLL013C	YLL013C_mRNA	122075	124714	124714	2640	-1	122075	124714	XII	40.87	PUF3	protein_coding
YKR067W	YKR067W_mRNA	567918	570149	567918	2232	1	567918	570149	XI	40.32	GPT2	protein_coding
YLR040C	YLR040C_mRNA	228908	229582	229582	675	-1	228908	229582	XII	42.52	AFB1	protein_coding
YMR093W	YMR093W_mRNA	454015	455556	454015	1542	1	454015	455556	XIII	40.53	UTP15	protein_coding
YIL058W	YIL058W_mRNA	246914	247198	246914	285	1	246914	247198	IX	43.86		protein_coding
YHR136C	YHR136C_mRNA	374654	375100	375100	447	-1	374654	375100	VIII	42.95	SPL2	protein_coding
YBR078W	YBR078W_mRNA	393123	394742	393123	1290	1	393123	394742	II	40.80	ECM33	protein_coding
YCL054W	YCL054W_mRNA	31449	33974	31449	2526	1	31449	33974	III	38.16	SPB1	protein_coding
YIL072W	YIL072W_mRNA	226602	228419	226602	1818	1	226602	228419	IX	37.57	HOP1	protein_coding
YOR231C-A	YOR231C-A_mRNA	773163	773363	773363	201	-1	773163	773363	XV	34.33		protein_coding
YCR016W	YCR016W_mRNA	143634	144506	143634	873	1	143634	144506	III	36.08		protein_coding
YEL020C	YEL020C_mRNA	118617	120299	120299	1683	-1	118617	120299	V	43.61	PXP1	protein_coding
YPL025C	YPL025C_mRNA	502473	503030	503030	558	-1	502473	503030	XVI	47.13		protein_coding
RDN58-2	RDN58-2_rRNA	464551	464708	464708	158	-1	464551	464708	XII	46.20		rRNA
YDL136W	YDL136W_mRNA	217600	218367	217600	363	1	217600	218367	IV	37.11	RPL35B	protein_coding
YBR211C	YBR211C_mRNA	646158	647132	647132	975	-1	646158	647132	II	36.72	AME1	protein_coding
YJL077W-A	YJL077W-A_mRNA	294799	294885	294799	87	1	294799	294885	X	44.83		protein_coding
YOR076C	YOR076C_mRNA	469377	471620	471620	2244	-1	469377	471620	XV	34.76	SKI7	protein_coding
YDR104C	YDR104C_mRNA	661173	664910	664910	3738	-1	661173	664910	IV	37.69	SPO71	protein_coding
YBR279W	YBR279W_mRNA	761257	762594	761257	1338	1	761257	762594	II	38.94	PAF1	protein_coding
YLR067C	YLR067C_mRNA	267813	270710	270710	2898	-1	267813	270710	XII	35.68	PET309	protein_coding
YHR219W	YHR219W_mRNA	560173	562047	560173	1875	1	560173	562047	VIII	46.45		protein_coding
YGR249W	YGR249W_mRNA	988049	989419	988049	1371	1	988049	989419	VII	40.92	MGA1	protein_coding
YLR456W	YLR456W_mRNA	1055070	1055684	1055070	615	1	1055070	1055684	XII	33.33		protein_coding
YGR283C	YGR283C_mRNA	1059015	1060040	1060040	1026	-1	1059015	1060040	VII	38.50		protein_coding
YDL027C	YDL027C_mRNA	403695	404957	404957	1263	-1	403695	404957	IV	35.79	MRX9	protein_coding
YKR023W	YKR023W_mRNA	483419	485011	483419	1593	1	483419	485011	XI	37.73		protein_coding
YGR028W	YGR028W_mRNA	542203	543291	542203	1089	1	542203	543291	VII	37.92	MSP1	protein_coding
YCL001W-A	YCL001W-A_mRNA	113080	113541	113080	462	1	113080	113541	III	31.39		protein_coding
YDR052C	YDR052C_mRNA	558511	560625	560625	2115	-1	558511	560625	IV	37.97	DBF4	protein_coding
YFR035C	YFR035C_mRNA	226121	226465	226465	345	-1	226121	226465	VI	44.93		protein_coding
YJL102W	YJL102W_mRNA	231301	233760	231301	2460	1	231301	233760	X	38.21	MEF2	protein_coding
YNL336W	YNL336W_mRNA	8330	9475	8330	1146	1	8330	9475	XIV	37.87	COS1	protein_coding
YGL006W	YGL006W_mRNA	485921	489442	485921	3522	1	485921	489442	VII	38.47	PMC1	protein_coding
YDR217C	YDR217C_mRNA	899551	903480	903480	3930	-1	899551	903480	IV	37.02	RAD9	protein_coding
YMR194C-A	YMR194C-A_mRNA	652912	653136	653136	225	-1	652912	653136	XIII	43.11		protein_coding
YKL033W	YKL033W_mRNA	375456	378572	375456	3117	1	375456	378572	XI	35.80	TTI1	protein_coding
YOR223W	YOR223W_mRNA	759782	760660	759782	879	1	759782	760660	XV	45.73	DSC3	protein_coding
YOR032W-A	YOR032W-A_mRNA	392176	392376	392176	201	1	392176	392376	XV	39.80		protein_coding
YBR260C	YBR260C_mRNA	732639	734639	734639	2001	-1	732639	734639	II	39.78	RGD1	protein_coding
YLR359W	YLR359W_mRNA	844282	845730	844282	1449	1	844282	845730	XII	39.54	ADE13	protein_coding
YHR062C	YHR062C_mRNA	222877	223758	223758	882	-1	222877	223758	VIII	44.56	RPP1	protein_coding
YDR022C	YDR022C_mRNA	488072	488662	488662	591	-1	488072	488662	IV	36.72		protein_coding
YDR459C	YDR459C_mRNA	1382319	1383443	1383443	1125	-1	1382319	1383443	IV	40.18	PFA5	protein_coding
YNL184C	YNL184C_mRNA	292557	292883	292883	327	-1	292557	292883	XIV	41.28		protein_coding
YDR293C	YDR293C_mRNA	1045640	1049392	1049392	3753	-1	1045640	1049392	IV	40.07	SSD1	protein_coding
YPL195W	YPL195W_mRNA	176223	179021	176223	2799	1	176223	179021	XVI	35.12	APL5	protein_coding
YMR173W	YMR173W_mRNA	608689	609981	608689	1293	1	608689	609981	XIII	39.21	DDR48	protein_coding
YDR374W-A	YDR374W-A_mRNA	1224757	1225026	1224757	270	1	1224757	1225026	IV	39.63	WIP1	protein_coding
YAL007C	YAL007C_mRNA	137698	138345	138345	648	-1	137698	138345	I	37.04	ERP2	protein_coding
YGL235W	YGL235W_mRNA	55279	55815	55279	537	1	55279	55815	VII	49.91		protein_coding
YGL134W	YGL134W_mRNA	255663	256964	255663	1302	1	255663	256964	VII	39.09	PCL10	protein_coding
YER001W	YER001W_mRNA	153520	155808	153520	2289	1	153520	155808	V	37.88	MNN1	protein_coding
YDR366C	YDR366C_mRNA	1212438	1212836	1212836	399	-1	1212438	1212836	IV	29.32		protein_coding
YHR023W	YHR023W_mRNA	151666	157452	151666	5787	1	151666	157452	VIII	35.04	MYO1	protein_coding
tI(AAU)E2	tI(AAU)E2_tRNA	551285	551358	551358	74	-1	551285	551358	V	58.11		tRNA
YDR430C	YDR430C_mRNA	1325501	1328470	1328470	2970	-1	1325501	1328470	IV	38.79	CYM1	protein_coding
YGR002C	YGR002C_mRNA	498476	499906	499906	1431	-1	498476	499906	VII	38.92	SWC4	protein_coding
YNL220W	YNL220W_mRNA	234413	235714	234413	1302	1	234413	235714	XIV	39.32	ADE12	protein_coding
YBR109W-A	YBR109W-A_mRNA	458608	458832	458608	225	1	458608	458832	II	37.78		protein_coding
YHR110W	YHR110W_mRNA	332282	332920	332282	639	1	332282	332920	VIII	40.38	ERP5	protein_coding
YKL136W	YKL136W_mRNA	186416	186814	186416	399	1	186416	186814	XI	36.59		protein_coding
YLL067C	YLL067C_mRNA	585	4301	4301	3618	-1	585	4301	XII	46.35		protein_coding
YPL078C	YPL078C_mRNA	408010	408744	408744	735	-1	408010	408744	XVI	39.46	ATP4	protein_coding
YBR073W	YBR073W_mRNA	383112	385988	383112	2877	1	383112	385988	II	38.06	RDH54	protein_coding
YPL119C	YPL119C_mRNA	324411	326264	326264	1854	-1	324411	326264	XVI	42.61	DBP1	protein_coding
YOR135C	YOR135C_mRNA	580159	580500	580500	342	-1	580159	580500	XV	37.72	IRC14	protein_coding
YPL212C	YPL212C_mRNA	151515	153149	153149	1635	-1	151515	153149	XVI	39.94	PUS1	protein_coding
snR60	snR60_snoRNA	349130	349233	349233	104	-1	349130	349233	X	31.73		snoRNA
tE(UUC)G3	tE(UUC)G3_tRNA	541850	541921	541850	72	1	541850	541921	VII	55.56		tRNA
YGL179C	YGL179C_mRNA	163409	165091	165091	1683	-1	163409	165091	VII	39.93	TOS3	protein_coding
YNL159C	YNL159C_mRNA	338478	339347	339347	870	-1	338478	339347	XIV	38.85	ASI2	protein_coding
YFR048W	YFR048W_mRNA	246146	248134	246146	1989	1	246146	248134	VI	39.27	RMD8	protein_coding
YDR016C	YDR016C_mRNA	478474	478758	478758	285	-1	478474	478758	IV	38.95	DAD1	protein_coding
YKL215C	YKL215C_mRNA	26827	30687	30687	3861	-1	26827	30687	XI	40.12	OXP1	protein_coding
YML035C	YML035C_mRNA	206428	208860	208860	2433	-1	206428	208860	XIII	40.03	AMD1	protein_coding
YDL059C	YDL059C_mRNA	344237	344953	344953	717	-1	344237	344953	IV	42.12	RAD59	protein_coding
tK(CUU)D2	tK(CUU)D2_tRNA	1352466	1352538	1352538	73	-1	1352466	1352538	IV	54.79		tRNA
YOR257W	YOR257W_mRNA	811008	811493	811008	486	1	811008	811493	XV	37.65	CDC31	protein_coding
tE(UUC)G2	tE(UUC)G2_tRNA	401527	401598	401598	72	-1	401527	401598	VII	55.56		tRNA
YNL144C	YNL144C_mRNA	352820	355042	355042	2223	-1	352820	355042	XIV	40.04		protein_coding
YIL172C	YIL172C_mRNA	16784	18553	18553	1770	-1	16784	18553	IX	42.88	IMA3	protein_coding
YOR301W	YOR301W_mRNA	880965	882272	880965	1308	1	880965	882272	XV	46.71	RAX1	protein_coding
HRA1	HRA1_ncRNA	99305	99868	99305	564	1	99305	99868	I	42.20		ncRNA
YHR157W	YHR157W_mRNA	412907	413455	412907	549	1	412907	413455	VIII	38.62	REC104	protein_coding
YPR152C	YPR152C_mRNA	832061	833458	833458	1398	-1	832061	833458	XVI	44.78	URN1	protein_coding
YDR442W	YDR442W_mRNA	1345647	1346039	1345647	393	1	1345647	1346039	IV	44.27		protein_coding
YPL008W	YPL008W_mRNA	539385	541970	539385	2586	1	539385	541970	XVI	36.93	CHL1	protein_coding
YMR086C-A	YMR086C-A_mRNA	442026	442364	442364	339	-1	442026	442364	XIII	33.63		protein_coding
YGL032C	YGL032C_mRNA	436570	436833	436833	264	-1	436570	436833	VII	40.53	AGA2	protein_coding
YEL077C	YEL077C_mRNA	264	4097	4097	3834	-1	264	4097	V	45.96		protein_coding
YGR174W-A	YGR174W-A_mRNA	846655	846741	846655	87	1	846655	846741	VII	29.89		protein_coding
YOR148C	YOR148C_mRNA	608640	609197	609197	558	-1	608640	609197	XV	38.35	SPP2	protein_coding
YHL048W	YHL048W_mRNA	6401	7546	6401	1146	1	6401	7546	VIII	38.66	COS8	protein_coding
YDR114C	YDR114C_mRNA	681924	682226	682226	303	-1	681924	682226	IV	37.62		protein_coding
YDR194W-A	YDR194W-A_mRNA	848071	848223	848071	153	1	848071	848223	IV	32.68		protein_coding
YML062C	YML062C_mRNA	147505	148683	148683	1179	-1	147505	148683	XIII	39.36	MFT1	protein_coding
YPR085C	YPR085C_mRNA	708497	709828	709828	1332	-1	708497	709828	XVI	37.61	ASA1	protein_coding
tR(UCU)K	tR(UCU)K_tRNA	162487	162558	162558	72	-1	162487	162558	XI	54.17		tRNA
YBL095W	YBL095W_mRNA	43277	44089	43277	813	1	43277	44089	II	43.17	MRX3	protein_coding
YAR028W	YAR028W_mRNA	184892	185596	184892	705	1	184892	185596	I	41.42		protein_coding
YGR054W	YGR054W_mRNA	596693	598621	596693	1929	1	596693	598621	VII	41.37		protein_coding
YOR096W	YOR096W_mRNA	505794	506767	505794	573	1	505794	506767	XV	37.47	RPS7A	protein_coding
YMR022W	YMR022W_mRNA	318680	319177	318680	498	1	318680	319177	XIII	40.76	UBC7	protein_coding
YCR027C	YCR027C_mRNA	167370	167999	167999	630	-1	167370	167999	III	39.68	RHB1	protein_coding
YDL183C	YDL183C_mRNA	130871	131833	131833	963	-1	130871	131833	IV	37.07		protein_coding
YJL225W-A	YJL225W-A_mRNA	829	1311	829	483	1	829	1311	X	45.13		protein_coding
YNL278W	YNL278W_mRNA	113271	116453	113271	3183	1	113271	116453	XIV	43.29	CAF120	protein_coding
YLR395C	YLR395C_mRNA	909729	909965	909965	237	-1	909729	909965	XII	38.82	COX8	protein_coding
YDR446W	YDR446W_mRNA	1353725	1354633	1353725	909	1	1353725	1354633	IV	36.63	ECM11	protein_coding
YKL023W	YKL023W_mRNA	393721	394554	393721	834	1	393721	394554	XI	41.01		protein_coding
YPL106C	YPL106C_mRNA	350194	352275	352275	2082	-1	350194	352275	XVI	41.35	SSE1	protein_coding
tI(AAU)L1	tI(AAU)L1_tRNA	734802	734875	734802	74	1	734802	734875	XII	58.11		tRNA
tD(GUC)O	tD(GUC)O_tRNA	571958	572029	571958	72	1	571958	572029	XV	56.94		tRNA
tR(UCU)M2	tR(UCU)M2_tRNA	131825	131896	131896	72	-1	131825	131896	XIII	54.17		tRNA
YOR366W	YOR366W_mRNA	1025256	1025609	1025256	354	1	1025256	1025609	XV	35.59		protein_coding
YIR021W	YIR021W_mRNA	397294	398385	397294	1092	1	397294	398385	IX	41.48	MRS1	protein_coding
YJL175W	YJL175W_mRNA	94049	94561	94049	513	1	94049	94561	X	46.59		protein_coding
YLL022C	YLL022C_mRNA	99044	100201	100201	1158	-1	99044	100201	XII	46.55	HIF1	protein_coding
YDR441C	YDR441C_mRNA	1344517	1345062	1345062	546	-1	1344517	1345062	IV	41.94	APT2	protein_coding
YPR002C-A	YPR002C-A_mRNA	560569	560766	560766	198	-1	560569	560766	XVI	32.32		protein_coding
YOR299W	YOR299W_mRNA	878435	880675	878435	2241	1	878435	880675	XV	41.10	BUD7	protein_coding
